price,time
28072.54000000,1679471768459
28073.00000000,1679471768770
28073.29000000,1679471769097
28073.29000000,1679471769403
28073.55000000,1679471770018
28073.65000000,1679471770618
28073.65000000,1679471770925
28073.65000000,1679471771230
28073.66000000,1679471771524
28073.66000000,1679471771834
28073.65000000,1679471772141
28073.65000000,1679471772446
28073.62000000,1679471772760
28073.63000000,1679471773077
28073.63000000,1679471773389
28073.62000000,1679471773690
28073.62000000,1679471774307
28073.62000000,1679471774610
28073.55000000,1679471774905
28073.54000000,1679471775211
28073.54000000,1679471775533
28073.55000000,1679471775825
28073.61000000,1679471776145
28074.87000000,1679471776466
28074.86000000,1679471776782
28074.86000000,1679471777076
28074.86000000,1679471777386
28074.87000000,1679471777686
28074.86000000,1679471778297
28074.78000000,1679471778594
28074.68000000,1679471778890
28074.52000000,1679471779209
28074.53000000,1679471779513
28074.52000000,1679471779824
28074.52000000,1679471780125
28075.35000000,1679471780406
28075.51000000,1679471780700
28075.69000000,1679471780995
28075.83000000,1679471781308
28077.53000000,1679471781604
28078.45000000,1679471781886
28078.97000000,1679471782185
28080.26000000,1679471782479
28080.99000000,1679471782779
28081.04000000,1679471783085
28082.00000000,1679471783387
28083.99000000,1679471783977
28083.99000000,1679471784278
28084.00000000,1679471784871
28083.99000000,1679471785174
28084.05000000,1679471785553
28084.05000000,1679471785878
28081.10000000,1679471786172
28082.64000000,1679471786466
28082.67000000,1679471786772
28082.64000000,1679471787082
28082.63000000,1679471787379
28082.67000000,1679471787982
28082.66000000,1679471788307
28082.67000000,1679471788662
28082.64000000,1679471788962
28081.26000000,1679471789250
28081.26000000,1679471789553
28081.83000000,1679471789859
28082.20000000,1679471790191
28082.19000000,1679471790491
28082.18000000,1679471790790
28081.25000000,1679471791082
28079.49000000,1679471791382
28079.90000000,1679471791683
28079.42000000,1679471791975
28079.90000000,1679471792292
28079.46000000,1679471792582
28078.71000000,1679471793036
28075.78000000,1679471793339
28075.19000000,1679471793639
28074.86000000,1679471793940
28074.86000000,1679471794265
28074.87000000,1679471794567
28075.01000000,1679471794860
28075.78000000,1679471795460
28077.36000000,1679471795758
28077.36000000,1679471796061
28080.97000000,1679471796370
28081.07000000,1679471796655
28082.23000000,1679471796963
28082.97000000,1679471797261
28085.82000000,1679471797573
28085.99000000,1679471797872
28086.12000000,1679471798167
28086.12000000,1679471798457
28086.13000000,1679471798749
28086.13000000,1679471799032
28087.39000000,1679471799356
28087.46000000,1679471799652
28087.39000000,1679471799966
28087.39000000,1679471800265
28087.40000000,1679471800564
28088.05000000,1679471800860
28088.09000000,1679471801147
28088.32000000,1679471801480
28088.33000000,1679471801769
28088.33000000,1679471802050
28088.36000000,1679471802337
28088.36000000,1679471802639
28088.39000000,1679471802929
28088.47000000,1679471803220
28088.85000000,1679471803514
28088.85000000,1679471803811
28089.02000000,1679471804106
28089.12000000,1679471804423
28089.12000000,1679471804723
28089.20000000,1679471805022
28089.28000000,1679471805317
28090.17000000,1679471805618
28091.09000000,1679471805918
28091.42000000,1679471806210
28091.70000000,1679471806512
28092.20000000,1679471806822
28093.02000000,1679471807123
28093.02000000,1679471807415
28093.18000000,1679471807717
28093.28000000,1679471808023
28093.47000000,1679471808322
28093.47000000,1679471808624
28092.37000000,1679471808914
28088.32000000,1679471809225
28085.96000000,1679471809528
28085.83000000,1679471809810
28084.01000000,1679471810095
28083.30000000,1679471810395
28083.29000000,1679471810702
28082.64000000,1679471811033
28081.25000000,1679471811344
28081.18000000,1679471811644
28081.13000000,1679471811943
28081.00000000,1679471812237
28080.65000000,1679471812539
28081.04000000,1679471812837
28081.14000000,1679471813141
